AuthID,Author
11714,"Anandakrishnan, Ramu"
17085,"Anastopoulos, C."
13103,"Anatole, Manzi"
1808,"Anbar, Ariel D."
22021,"Ancellet, Gerard"
17086,"Ancu, L. S."
73,"Andalman, Brad"
17087,"Andari, N."
17088,"Andeen, T."
17089,"Anders, C. F."
17090,"Anders, G."
6684,"Andersen, Alan N."
7746,"Andersen, Brian"
2812,"Andersen, Joseph"
12640,"Andersen, Judith Pizarro"
6953,"Andersen, Kristian G"
14123,"Andersen, Kristian G."
518,"Andersen, Lars Bo"
9738,"Andersen, Mette S."
939,"Anderson, Alan N."
14801,"Anderson, Annelise G."
23462,"Anderson, B"
23674,"Anderson, B."
23683,"Anderson, B. E."
23368,"Anderson, Bruce"
4148,"Anderson, Bruce E."
12531,"Anderson, Daniel G."
26691,"Anderson, David J."
11881,"Anderson, Gemma E."
16022,"Anderson, Heidi"
20688,"Anderson, J."
22448,"Anderson, James G."
9141,"Anderson, Jason S."
26901,"Anderson, Jeffrey S"
362,"Anderson, K."
17091,"Anderson, K. J."
2213,"Anderson, Karen L."
26770,"Anderson, Ken C"
20012,"Anderson, Kenneth C"
4343,"Anderson, Mark S."
16611,"Anderson, Michael C."
15223,"Anderson, Nathan"
1938,"Anderson, Robert"
14967,"Anderson, Ross P."
11176,"Anderson, Ryan S."
23294,"Anderson, S. M."
23141,"Anderson, Stewart A."
2540,"Anderson, Thomas F."
5416,"Anderson, William J."
996,"Anderson, William R."
23795,"Anderson, William S."
14488,"Andersson, Göran"
10959,"Andersson, K."
7001,"Andersson, Leif"
16093,"Andersson, Malte"
13729,"Andersson, Maria"
12858,"Andrade, José S."
24142,"Andrade, Sónia C. S."
13588,"Andrade, X."
7473,"Andrade, Xavier"
16094,"Andre, Jean-Baptiste"
23257,"Andreae, M. O."
23309,"Andreae, T. W."
15626,"Andreasen, Nancy C."
23036,"Andreassen, Ole A"
15627,"Andreassen, Ole A."
20375,"Andreassen, R."
17092,"Andreazza, A."
13456,"Andreeva, Viktoria"
12118,"Andregg, Michael"
12129,"Andregg, William"
17093,"Andrei, V."
154,"Andreopoulos, C."
24570,"Andreotti, Gabriella"
20676,"Andreotti, M."
22737,"Andres, Dorothee"
6700,"Andres, Miriam"
1006,"Andrews, Arlyn E."
6319,"Andrews, Brenda J"
299,"Andrews, M."
277,"Andrews, R."
11317,"Andrews, Robert"
21091,"Andrews, Sean M."
2483,"Andrews-Hanna, Jessica R."
1422,"Andrie, Rachael M."
17094,"Andrieux, M-L."
25933,"Andrieux, M. -L."
7890,"Andriyash, Evgeny"
26062,"Andronicos, Christopher L."
12256,"André, Thierry"
13194,"Andrés, Aida M."
17095,"Anduaga, X. S."
3839,"Anes, Michael D."
2620,"Angeletos, George-Marios"
24766,"Angelidakis, S."
20528,"Angelini, C."
723,"Angelino, Elaine"
6851,"Angelino, Elaine Lee"
2852,"Angeloni, Ignazio"
25134,"Angelozzi, I."
24767,"Anger, P."
17096,"Angerami, A."
5870,"Angermeyer, Matthias"
17097,"Anghinolfi, F."
26190,"Angin, Mathieu"
5180,"Anglada-Escude, Guillem"
10810,"Anglin, Emily"
4888,"Angonin, M-C."
3192,"Angrist, Joshua D."
4446,"Angst, Roland"
15243,"Angstman, James F"
12277,"Angstman, James F."
24768,"Anisenkov, A."
25135,"Anisenkov, A. V."
25950,"Anjos, A. Dos"
17098,"Anjos, N."
23080,"Annavi, G"
4473,"Annen, Thomas"
11985,"Annes, J. P."
7685,"Anninos, Dionysios"
17099,"Annovi, A."
4785,"Anokhin, Konstantin V."
7817,"Anous, Tarek"
14603,"Ansari-Oghol-Beig, Davood"
5068,"Ansolabehere, Stephen Daniel"
4173,"Antal, Tibor"
14378,"Antebi, Adam"
16450,"Antel, Jack P."
12944,"Anthony Wilson, J."
11991,"Anthony, Anthony"
13979,"Anthony, Samuel English"
17100,"Antonaki, A."
25860,"Antonaki, M."
17101,"Antonelli, M."
25656,"Antonelli, S."
22150,"Antonescu, Cristina R."
17102,"Antonov, A."
23617,"Antonov, J"
7411,"Antos, Dimitrios"
17103,"Antos, J."
5090,"Antos, John M."
2715,"Antras, Pol"
17104,"Anulli, F."
7323,"Anzellotti, Stefano"
16762,"Anzenberg, Eitan"
24769,"Aoki, M."
17105,"Aoun, S."
12115,"Aoun, Samar M"
26755,"Aoyama, Simon"
17106,"Aperio Bella, L."
6305,"Aperis, George"
14380,"Apfeld, Javier"
21057,"Apfeld, Javier M."
1610,"Apicella, Carmel"
17107,"Apolle, R."
13201,"Apostolopoulos, Nicholas"
13453,"Apostolou, Effie"
22353,"Apostolou, Zivkos"
15628,"Apostolova, Liana G."
9028,"Appavoo, Jonathan"
15629,"Appel, Katja"
10516,"Appel, Stanley"
14842,"Apple, Jeff"
27284,"Applegate, D. E."
8118,"Appleman, Victoria A."
12873,"Appler, Jessica M"
21905,"Appleton, Anthony L."
14188,"Apps, Richard"
11878,"Apt, Jay"
4916,"Aptekar, Jacob W."
1408,"Aptroot, Andre"
12010,"Apweiler, Rolf"
22354,"Aqrawi, Peshtewani"
2572,"Aquadro, John"
9540,"Aquino, Rosario John"
17108,"Arabidze, G."
24090,"Arabnia, Hamid R"
15504,"Arac, Ahmet"
17109,"Aracena, I."
12609,"Arai, K."
17110,"Arai, Y."
558,"Arain, Altaf"
1344,"Arain, M. Altaf"
4650,"Aral, Sinan"
6206,"Aramburu, Jose"
8854,"Arand, Julia"
26510,"Aranson, Igor S."
12825,"Arany, Praveen"
25136,"Araque, J. P."
5557,"Araripe, Luciana Ordunha"
14014,"Aratyn-Schaus, Yvonne"
3223,"Aravind, L"
5892,"Aravinthan, Samuel"
24087,"Arbania, Hamid R"
8791,"Arbesman, Samuel"
22290,"Arboleda, Laura C"
20250,"Arcaya, Mariana C"
17111,"Arce, A. T. H."
4681,"Arce, Hector G."
6721,"Arce, Héctor G."
17112,"Archambault, J. P."
9106,"Archetti, Marco"
24312,"Archidiacono, Nicoletta"
1937,"Archinal, Brent A."
500,"Ardagna, Silvia"
6963,"Ardeshiri, Roxanne S."
9756,"Ardila, Néstor E"
25861,"Arduh, F. A."
4003,"Arduino, Lisa Saskia"
