RecordIdentifier,Author,authID
oai:dash.harvard.edu:1/11879556,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/12559510,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/12363918,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/13347489,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/11879463,"Ellner, Andrew",13100
oai:dash.harvard.edu:1/12490328,"Elmalech, Avshalom",15928
oai:dash.harvard.edu:1/4724760,"Elman, Igor",2585
oai:dash.harvard.edu:1/3203275,"Elman, Igor",2585
oai:dash.harvard.edu:1/3203284,"Elman, Igor",2585
oai:dash.harvard.edu:1/4454186,"Elman, Igor",2585
oai:dash.harvard.edu:1/11022234,"Elman, Lauen",10520
oai:dash.harvard.edu:1/12406630,"Elman, Scott A",15425
oai:dash.harvard.edu:1/12406898,"Elman, Scott A",15425
oai:dash.harvard.edu:1/2643866,"Elmendorf, Douglas W.",655
oai:dash.harvard.edu:1/3980871,"Elmer, David Franklin",3225
oai:dash.harvard.edu:1/3443103,"Elmer, David Franklin",3225
oai:dash.harvard.edu:1/3415492,"Elmer, David Franklin",3225
oai:dash.harvard.edu:1/3415493,"Elmer, David Franklin",3225
oai:dash.harvard.edu:1/2870692,"Elmer, John W.",1540
oai:dash.harvard.edu:1/13596731,"Elmsheuser, J.",17738
oai:dash.harvard.edu:1/16235678,"Elpek, Kutlu G.",9558
oai:dash.harvard.edu:1/4686809,"Elprin, Nick",4363
oai:dash.harvard.edu:1/3007650,"Elrick, Maya B.",2004
oai:dash.harvard.edu:1/8141466,"El-Rouayheb, Khaled",4820
oai:dash.harvard.edu:1/12785845,"El-Samad, Hana",20133
oai:dash.harvard.edu:1/11738409,"Elser, J.",10134
oai:dash.harvard.edu:1/14352842,"Elsey, Ruth M.",24201
oai:dash.harvard.edu:1/13347495,"Elsholz, Alexander K. W.",21407
oai:dash.harvard.edu:1/3138321,"El-Showk, Sheer",2366
oai:dash.harvard.edu:1/13596731,"Elsing, M.",17739
oai:dash.harvard.edu:1/2689274,"Eluszkiewicz, Janusz",1028
oai:dash.harvard.edu:1/12406526,"Elvers, Ingegerd",15216
oai:dash.harvard.edu:1/12406899,"Elvsåshagen, Torbjørn",15684
oai:dash.harvard.edu:1/3196337,"Ely, Jeffrey",2578
oai:dash.harvard.edu:1/11879205,"Elyaman, Wassim",12934
oai:dash.harvard.edu:1/11213362,"Emaus, A.",6957
